Date: 1-1-2022
Player: K. Middleton, line: O 4.5, odds: (-135)
Player: P. Connaughton, line: O 1.5, odds: (+105)
Player: G. Hill, line: O 2.5, odds: (+105)
Player: J. Hayes, line: O 0.5, odds: (-105)
Player: H. Jones, line: O 1.5, odds: (-185)
Player: G. Allen, line: O 1.5, odds: (+130)
Player: J. Hart, line: O 4.5, odds: (+105)
Player: B. Portis Jr., line: O 1.5, odds: (+130)
Player: W. Matthews, line: O 0.5, odds: (-245)
Player: D. Cousins, line: O 1.5, odds: (+170)
Player: J. Holiday, line: O 6.5, odds: (-105)
Player: G. Antetokounmpo, line: O 4.5, odds: (-165)
Player: W. Hernangomez, line: O 1.5, odds: (-130)
Player: D. Graham, line: O 4.5, odds: (+115)
Player: G. Temple, line: O 1.5, odds: (-180)
Player: N. Alexander-Walker, line: O 2.5, odds: (-135)
Player: C. Kispert, line: O 1.5, odds: (-155)
Player: C. White, line: O 3.5, odds: (-155)
Player: D. Gafford, line: O 1.5, odds: (-130)
Player: D. Jones Jr., line: O 0.5, odds: (-135)
Player: Z. LaVine, line: O 5.5, odds: (+114)
Player: D. DeRozan, line: O 5.5, odds: (-106)
Player: K. Caldwell-Pope, line: O 2.5, odds: (+136)
Player: J. Green, line: O 1.5, odds: (+160)
Player: D. Avdija, line: O 2.5, odds: (+140)
Player: N. Vucevic, line: O 3.5, odds: (+110)
Player: B. Beal, line: O 7.5, odds: (+120)
Player: K. Kuzma, line: O 3.5, odds: (-102)
Player: T. Jones, line: O 6.5, odds: (+110)
Player: K. Bates-Diop, line: O 1.5, odds: (+150)
Player: S. Bey, line: O 3.5, odds: (EVEN)
Player: D. McDermott, line: O 1.5, odds: (-130)
Player: D. Walton Jr., line: O 5.5, odds: (-135)
Player: K. Johnson, line: O 1.5, odds: (-205)
Player: B. Forbes, line: O 1.5, odds: (-110)
Player: H. Diallo, line: O 2.5, odds: (-130)
Player: J. Poeltl, line: O 3.5, odds: (+120)
Player: L. Garza, line: O 1.5, odds: (-105)
Player: C. Stanley, line: O 1.5, odds: (+130)
Player: J. Landale, line: O 0.5, odds: (-225)
Player: D. Vassell, line: O 2.5, odds: (+145)
Player: D. White, line: O 7.5, odds: (-105)
Player: J. Winslow, line: O 1.5, odds: (+160)
Player: M. Morris Sr., line: O 1.5, odds: (-165)
Player: K. Durant, line: O 5.5, odds: (+105)
Player: J. Johnson, line: O 1.5, odds: (-140)
Player: L. Aldridge, line: O 0.5, odds: (-220)
Player: J. Harden, line: O 10.5, odds: (+122)
Player: A. Coffey, line: O 1.5, odds: (+105)
Player: B. Brown Jr., line: O 1.5, odds: (-135)
Player: S. Ibaka, line: O 1.5, odds: (+105)
Player: E. Bledsoe, line: O 3.5, odds: (-160)
Player: L. Kennard, line: O 2.5, odds: (+115)
Player: R. Jackson, line: O 3.5, odds: (-165)
Player: P. Mills, line: O 2.5, odds: (-110)
Player: T. Mann, line: O 1.5, odds: (-205)
Player: K. Porter Jr., line: O 5.5, odds: (-120)
Player: K. Martin Jr., line: O 1.5, odds: (+140)
Player: C. Wood, line: O 1.5, odds: (-145)
Player: A. Brooks, line: O 1.5, odds: (-150)
Player: N. Jokic, line: O 7.5, odds: (-130)
Player: A. Rivers, line: O 1.5, odds: (-145)
Player: F. Campazzo, line: O 5.5, odds: (-135)
Player: J. Tate, line: O 3.5, odds: (-115)
Player: J. Christopher, line: O 2.5, odds: (+145)
Player: W. Barton, line: O 3.5, odds: (-160)
Player: D. Nwaba, line: O 1.5, odds: (+170)
