Points from 01-06-2021 to 12-31-2022
Date: 1-1-2021

Date: 1-2-2021

Date: 1-3-2021

Date: 1-4-2021

Date: 1-5-2021

Date: 1-6-2021
Player: A. Holiday, line: O 7.5, odds: (-125)
Player: P.J. Tucker, line: O 5.5, odds: (+102)
Player: D. Sabonis, line: O 19.5, odds: (-120)
Player: M. Turner, line: O 13.5, odds: (-107)
Player: T.J. McConnell, line: O 4.5, odds: (-130)
Player: J. Wall, line: O 19.5, odds: (-122)
Player: M. Brogdon, line: O 20.5, odds: (-114)
Player: J. Harden, line: O 29.5, odds: (-134)
Player: D. Nwaba, line: O 10.5, odds: (-115)
Player: D. McDermott, line: O 11.5, odds: (-125)
Player: V. Oladipo, line: O 19.5, odds: (-143)
Player: D. Cousins, line: O 13.5, odds: (-110)
Player: E. Gordon, line: O 16.5, odds: (EVEN)
Player: C. Wood, line: O 19.5, odds: (-104)
Player: J. McGee, line: O 6.5, odds: (-125)
Player: C. Osman, line: O 13.5, odds: (-110)
Player: G. Clark Jr., line: O 7.5, odds: (EVEN)
Player: A. Drummond, line: O 15.5, odds: (-134)
Player: L. Nance Jr., line: O 10.5, odds: (-118)
Player: T. Ross, line: O 18.5, odds: (-105)
Player: D. Bacon, line: O 9.5, odds: (-115)
Player: A. Gordon, line: O 14.5, odds: (-128)
Player: I. Okoro, line: O 8.5, odds: (-125)
Player: N. Vucevic, line: O 21.5, odds: (-118)
Player: M. Fultz, line: O 14.5, odds: (-110)
Player: C. Sexton, line: O 24.5, odds: (-110)
Player: T. Harris, line: O 20.5, odds: (-106)
Player: S. Curry, line: O 13.5, odds: (-139)
Player: T. Bryant, line: O 13.5, odds: (-103)
Player: R. Westbrook III, line: O 22.5, odds: (-107)
Player: B. Beal, line: O 28.5, odds: (-110)
Player: B. Simmons, line: O 16.5, odds: (-107)
Player: J. Embiid, line: O 27.5, odds: (-110)
Player: D. Green, line: O 8.5, odds: (+110)
Player: R. Hachimura, line: O 11.5, odds: (-121)
Player: D. Avdija, line: O 5.5, odds: (-122)
Player: S. Milton, line: O 11.5, odds: (-105)
Player: B. Biyombo, line: O 9.5, odds: (-103)
Player: J. Collins, line: O 19.5, odds: (-107)
Player: B. Bogdanovic, line: O 12.5, odds: (-115)
Player: D. Hunter, line: O 13.5, odds: (-106)
Player: G. Hayward, line: O 18.5, odds: (-110)
Player: P.J. Washington, line: O 12.5, odds: (-103)
