Stephen Curry:
Date: 2020-12-22, pts: 20, rbs: 4, ast: 10
Date: 2020-12-25, pts: 19, rbs: 4, ast: 6
Date: 2020-12-27, pts: 36, rbs: 2, ast: 6
Date: 2020-12-29, pts: 31, rbs: 5, ast: 6
Date: 2021-01-01, pts: 26, rbs: 8, ast: 5
Date: 2021-01-03, pts: 62, rbs: 5, ast: 4
Date: 2021-01-04, pts: 30, rbs: 9, ast: 8
Date: 2021-01-06, pts: 13, rbs: 4, ast: 5
Date: 2021-01-08, pts: 38, rbs: 2, ast: 11
Date: 2021-01-10, pts: 11, rbs: 9, ast: 6
Date: 2021-01-12, pts: 20, rbs: 4, ast: 3
Date: 2021-01-14, pts: 35, rbs: 11, ast: 4
Date: 2021-01-18, pts: 26, rbs: 1, ast: 7
Date: 2021-01-20, pts: 26, rbs: 11, ast: 7
Date: 2021-01-21, pts: 30, rbs: 3, ast: 4
Date: 2021-01-23, pts: 24, rbs: 7, ast: 7
Date: 2021-01-25, pts: 36, rbs: 4, ast: 3
Date: 2021-01-27, pts: 16, rbs: 6, ast: 8
Date: 2021-01-28, pts: 27, rbs: 4, ast: 4
Date: 2021-01-30, pts: 28, rbs: 5, ast: 7
Date: 2021-02-02, pts: 38, rbs: 11, ast: 8
Date: 2021-02-04, pts: 28, rbs: 3, ast: 6
Date: 2021-02-06, pts: 57, rbs: 2, ast: 5
Date: 2021-02-08, pts: 32, rbs: 7, ast: 6
Date: 2021-02-09, pts: 32, rbs: 4, ast: 2
Date: 2021-02-11, pts: 40, rbs: 8, ast: 5
Date: 2021-02-13, pts: 27, rbs: 3, ast: 5
Date: 2021-02-15, pts: 36, rbs: 2, ast: 6
Date: 2021-02-17, pts: 25, rbs: 7, ast: 11
Date: 2021-02-19, pts: 29, rbs: 7, ast: 11
Date: 2021-02-23, pts: 37, rbs: 6, ast: 6
Date: 2021-02-24, pts: 24, rbs: 8, ast: 8
Date: 2021-02-26, pts: 29, rbs: 4, ast: 9
Date: 2021-02-28, pts: 16, rbs: 4, ast: 7
Date: 2021-03-03, pts: 35, rbs: 7, ast: 5
Date: 2021-03-11, pts: 14, rbs: 4, ast: 3
Date: 2021-03-14, pts: 32, rbs: 5, ast: 9
Date: 2021-03-15, pts: 27, rbs: 3, ast: 2
Date: 2021-03-17, pts: 18, rbs: 5, ast: 8
Date: 2021-03-29, pts: 32, rbs: 5, ast: 6
Date: 2021-04-01, pts: 36, rbs: 11, ast: 3
Date: 2021-04-04, pts: 37, rbs: 5, ast: 2
Date: 2021-04-06, pts: 41, rbs: 6, ast: 4
Date: 2021-04-09, pts: 32, rbs: 6, ast: 5
Date: 2021-04-10, pts: 38, rbs: 8, ast: 5
Date: 2021-04-12, pts: 53, rbs: 6, ast: 4
Date: 2021-04-14, pts: 42, rbs: 6, ast: 8
Date: 2021-04-15, pts: 33, rbs: 4, ast: 5
Date: 2021-04-17, pts: 47, rbs: 7, ast: 3
Date: 2021-04-19, pts: 49, rbs: 3, ast: 5
Date: 2021-04-21, pts: 18, rbs: 7, ast: 8
Date: 2021-04-23, pts: 32, rbs: 8, ast: 3
Date: 2021-04-25, pts: 37, rbs: 7, ast: 4
Date: 2021-04-27, pts: 27, rbs: 1, ast: 2
Date: 2021-04-29, pts: 37, rbs: 6, ast: 8
Date: 2021-05-01, pts: 30, rbs: 5, ast: 5
Date: 2021-05-03, pts: 41, rbs: 4, ast: 8
Date: 2021-05-04, pts: 37, rbs: 9, ast: 2
Date: 2021-05-06, pts: 34, rbs: 4, ast: 7
Date: 2021-05-08, pts: 49, rbs: 5, ast: 2
Date: 2021-05-10, pts: 36, rbs: 4, ast: 6
Date: 2021-05-11, pts: 21, rbs: 3, ast: 6
Date: 2021-05-16, pts: 46, rbs: 7, ast: 9
Date: 2021-10-19, pts: 21, rbs: 10, ast: 10
Date: 2021-10-21, pts: 45, rbs: 10, ast: 1
Date: 2021-10-24, pts: 27, rbs: 7, ast: 10
Date: 2021-10-26, pts: 23, rbs: 6, ast: 4
Date: 2021-10-28, pts: 36, rbs: 7, ast: 8
Date: 2021-10-30, pts: 20, rbs: 5, ast: 6
Date: 2021-11-03, pts: 15, rbs: 8, ast: 9
Date: 2021-11-05, pts: 19, rbs: 3, ast: 6
Date: 2021-11-07, pts: 20, rbs: 3, ast: 2
Date: 2021-11-08, pts: 50, rbs: 7, ast: 10
Date: 2021-11-10, pts: 25, rbs: 5, ast: 6
Date: 2021-11-12, pts: 40, rbs: 4, ast: 5
Date: 2021-11-14, pts: 24, rbs: 6, ast: 10
Date: 2021-11-16, pts: 37, rbs: 7, ast: 5
Date: 2021-11-18, pts: 40, rbs: 4, ast: 6
Date: 2021-11-21, pts: 12, rbs: 2, ast: 8
Date: 2021-11-24, pts: 25, rbs: 4, ast: 10
Date: 2021-11-26, pts: 32, rbs: 7, ast: 8
Date: 2021-11-28, pts: 33, rbs: 5, ast: 6
Date: 2021-11-30, pts: 12, rbs: 3, ast: 2
Date: 2021-12-03, pts: 23, rbs: 5, ast: 5
Date: 2021-12-04, pts: 27, rbs: 8, ast: 5
Date: 2021-12-06, pts: 31, rbs: 3, ast: 8
Date: 2021-12-08, pts: 22, rbs: 2, ast: 2
Date: 2021-12-11, pts: 18, rbs: 9, ast: 5
Date: 2021-12-13, pts: 26, rbs: 6, ast: 6
Date: 2021-12-14, pts: 22, rbs: 3, ast: 3
Date: 2021-12-17, pts: 30, rbs: 5, ast: 4
Date: 2021-12-20, pts: 30, rbs: 3, ast: 4
Date: 2021-12-23, pts: 46, rbs: 4, ast: 4
Date: 2021-12-25, pts: 33, rbs: 4, ast: 6
Date: 2021-12-28, pts: 23, rbs: 4, ast: 4
Date: 2022-01-01, pts: 28, rbs: 6, ast: 9
Date: 2022-01-03, pts: 9, rbs: 3, ast: 10
Date: 2022-01-05, pts: 14, rbs: 9, ast: 5
Date: 2022-01-09, pts: 28, rbs: 5, ast: 5
Date: 2022-01-11, pts: 27, rbs: 10, ast: 10
Date: 2022-01-13, pts: 12, rbs: 8, ast: 4
Date: 2022-01-14, pts: 19, rbs: 2, ast: 2
Date: 2022-01-18, pts: 18, rbs: 3, ast: 8
Date: 2022-01-20, pts: 39, rbs: 5, ast: 8
Date: 2022-01-21, pts: 22, rbs: 4, ast: 12
Date: 2022-01-23, pts: 13, rbs: 4, ast: 6
Date: 2022-01-25, pts: 18, rbs: 9, ast: 7
Date: 2022-01-27, pts: 29, rbs: 8, ast: 6
Date: 2022-01-29, pts: 19, rbs: 7, ast: 8
Date: 2022-01-31, pts: 40, rbs: 5, ast: 9
Date: 2022-02-03, pts: 20, rbs: 1, ast: 7
Date: 2022-02-07, pts: 18, rbs: 9, ast: 10
Date: 2022-02-09, pts: 16, rbs: 7, ast: 2
Date: 2022-02-10, pts: 35, rbs: 2, ast: 10
Date: 2022-02-12, pts: 24, rbs: 5, ast: 8
Date: 2022-02-14, pts: 33, rbs: 2, ast: 2
Date: 2022-02-16, pts: 25, rbs: 3, ast: 6
Date: 2022-02-24, pts: 18, rbs: 5, ast: 14
Date: 2022-02-27, pts: 27, rbs: 4, ast: 10
Date: 2022-03-01, pts: 34, rbs: 5, ast: 4
Date: 2022-03-03, pts: 21, rbs: 5, ast: 9
Date: 2022-03-05, pts: 30, rbs: 4, ast: 1
Date: 2022-03-08, pts: 15, rbs: 5, ast: 5
Date: 2022-03-10, pts: 34, rbs: 9, ast: 3
Date: 2022-03-12, pts: 8, rbs: 5, ast: 8
Date: 2022-03-14, pts: 47, rbs: 6, ast: 6
Date: 2022-03-16, pts: 3, rbs: 1, ast: 2
Date: 2022-10-18, pts: 33, rbs: 6, ast: 7
Date: 2022-10-21, pts: 34, rbs: 5, ast: 4
Date: 2022-10-23, pts: 33, rbs: 5, ast: 2
Date: 2022-10-25, pts: 21, rbs: 7, ast: 8
Date: 2022-10-27, pts: 33, rbs: 7, ast: 9
Date: 2022-10-29, pts: 31, rbs: 11, ast: 6
Date: 2022-10-30, pts: 32, rbs: 6, ast: 3
Date: 2022-11-01, pts: 23, rbs: 13, ast: 13
Date: 2022-11-03, pts: 39, rbs: 3, ast: 9
Date: 2022-11-07, pts: 47, rbs: 8, ast: 8
Date: 2022-11-11, pts: 40, rbs: 4, ast: 5
Date: 2022-11-13, pts: 27, rbs: 6, ast: 4
Date: 2022-11-14, pts: 16, rbs: 5, ast: 5
Date: 2022-11-16, pts: 50, rbs: 9, ast: 6
Date: 2022-11-18, pts: 24, rbs: 6, ast: 10
Date: 2022-11-20, pts: 33, rbs: 6, ast: 15
Date: 2022-11-23, pts: 22, rbs: 6, ast: 9
Date: 2022-11-25, pts: 33, rbs: 5, ast: 4
Date: 2022-11-27, pts: 25, rbs: 11, ast: 8
Date: 2022-11-29, pts: 32, rbs: 5, ast: 5
Date: 2022-12-02, pts: 19, rbs: 11, ast: 6
Date: 2022-12-03, pts: 30, rbs: 3, ast: 10
Date: 2022-12-05, pts: 12, rbs: 4, ast: 6
Date: 2022-12-10, pts: 32, rbs: 6, ast: 7
Date: 2022-12-13, pts: 20, rbs: 6, ast: 1
Date: 2022-12-14, pts: 38, rbs: 7, ast: 7
Date: 2023-01-10, pts: 24, rbs: 1, ast: 3
Date: 2023-01-13, pts: 15, rbs: 4, ast: 3
Date: 2023-01-15, pts: 20, rbs: 10, ast: 4
Date: 2023-01-16, pts: 41, rbs: 7, ast: 2
Date: 2023-01-19, pts: 29, rbs: 4, ast: 7
Date: 2023-01-22, pts: 26, rbs: 6, ast: 7
Date: 2023-01-25, pts: 34, rbs: 2, ast: 3
Date: 2023-01-27, pts: 35, rbs: 7, ast: 11
Date: 2023-01-30, pts: 38, rbs: 8, ast: 12
Date: 2023-02-01, pts: 29, rbs: 10, ast: 3
Date: 2023-02-02, pts: 28, rbs: 5, ast: 5
Date: 2023-02-04, pts: 21, rbs: 6, ast: 7
Date: 2023-03-05, pts: 27, rbs: 2, ast: 6

Bradley Beal:
Date: 2020-12-23, pts: 31, rbs: 2, ast: 3
Date: 2020-12-26, pts: 39, rbs: 7, ast: 5
Date: 2020-12-27, pts: 29, rbs: 5, ast: 7
Date: 2020-12-29, pts: 29, rbs: 4, ast: 3
Date: 2020-12-31, pts: 28, rbs: 4, ast: 3
Date: 2021-01-01, pts: 31, rbs: 3, ast: 7
Date: 2021-01-03, pts: 27, rbs: 10, ast: 5
Date: 2021-01-06, pts: 60, rbs: 7, ast: 5
Date: 2021-01-08, pts: 41, rbs: 3, ast: 3
Date: 2021-01-11, pts: 34, rbs: 8, ast: 9
Date: 2021-01-24, pts: 31, rbs: 7, ast: 4
Date: 2021-01-26, pts: 33, rbs: 5, ast: 4
Date: 2021-01-27, pts: 47, rbs: 4, ast: 6
Date: 2021-01-29, pts: 26, rbs: 2, ast: 3
Date: 2021-01-31, pts: 37, rbs: 6, ast: 4
Date: 2021-02-02, pts: 37, rbs: 2, ast: 4
Date: 2021-02-03, pts: 32, rbs: 8, ast: 4
Date: 2021-02-05, pts: 7, rbs: 3, ast: 3
Date: 2021-02-07, pts: 31, rbs: 6, ast: 0
Date: 2021-02-08, pts: 35, rbs: 5, ast: 7
Date: 2021-02-10, pts: 24, rbs: 4, ast: 5
Date: 2021-02-14, pts: 35, rbs: 7, ast: 5
Date: 2021-02-15, pts: 37, rbs: 8, ast: 3
Date: 2021-02-17, pts: 25, rbs: 4, ast: 10
Date: 2021-02-20, pts: 37, rbs: 7, ast: 3
Date: 2021-02-22, pts: 33, rbs: 7, ast: 6
Date: 2021-02-23, pts: 28, rbs: 4, ast: 10
Date: 2021-02-25, pts: 33, rbs: 4, ast: 4
Date: 2021-02-27, pts: 34, rbs: 8, ast: 6
Date: 2021-02-28, pts: 46, rbs: 7, ast: 2
Date: 2021-03-02, pts: 23, rbs: 6, ast: 5
Date: 2021-03-04, pts: 33, rbs: 7, ast: 3
Date: 2021-03-10, pts: 21, rbs: 3, ast: 5
Date: 2021-03-12, pts: 19, rbs: 2, ast: 1
Date: 2021-03-15, pts: 37, rbs: 6, ast: 5
Date: 2021-03-17, pts: 29, rbs: 6, ast: 5
Date: 2021-03-18, pts: 43, rbs: 2, ast: 5
Date: 2021-03-21, pts: 17, rbs: 2, ast: 5
Date: 2021-03-23, pts: 22, rbs: 4, ast: 4
Date: 2021-03-25, pts: 26, rbs: 4, ast: 9
Date: 2021-03-27, pts: 17, rbs: 3, ast: 6
Date: 2021-04-07, pts: 26, rbs: 1, ast: 5
Date: 2021-04-09, pts: 20, rbs: 3, ast: 6
Date: 2021-04-12, pts: 34, rbs: 3, ast: 5
Date: 2021-04-14, pts: 31, rbs: 4, ast: 3
Date: 2021-04-16, pts: 30, rbs: 4, ast: 6
Date: 2021-04-17, pts: 37, rbs: 3, ast: 3
Date: 2021-04-19, pts: 30, rbs: 1, ast: 2
Date: 2021-04-21, pts: 29, rbs: 10, ast: 4
Date: 2021-04-23, pts: 33, rbs: 6, ast: 3
Date: 2021-04-25, pts: 33, rbs: 6, ast: 3
Date: 2021-04-26, pts: 45, rbs: 3, ast: 1
Date: 2021-04-28, pts: 27, rbs: 3, ast: 3
Date: 2021-04-30, pts: 19, rbs: 1, ast: 3
Date: 2021-05-01, pts: 29, rbs: 4, ast: 3
Date: 2021-05-03, pts: 26, rbs: 5, ast: 6
Date: 2021-05-05, pts: 42, rbs: 4, ast: 3
Date: 2021-05-06, pts: 28, rbs: 5, ast: 5
Date: 2021-05-08, pts: 50, rbs: 5, ast: 1
Date: 2021-05-16, pts: 25, rbs: 6, ast: 4
Date: 2021-10-20, pts: 23, rbs: 3, ast: 4
Date: 2021-10-25, pts: 19, rbs: 3, ast: 4
Date: 2021-10-27, pts: 17, rbs: 10, ast: 2
Date: 2021-10-28, pts: 27, rbs: 8, ast: 8
Date: 2021-10-30, pts: 36, rbs: 7, ast: 6
Date: 2021-11-01, pts: 24, rbs: 2, ast: 3
Date: 2021-11-03, pts: 25, rbs: 7, ast: 7
Date: 2021-11-05, pts: 17, rbs: 3, ast: 7
Date: 2021-11-07, pts: 30, rbs: 5, ast: 8
Date: 2021-11-10, pts: 15, rbs: 7, ast: 7
Date: 2021-11-17, pts: 24, rbs: 3, ast: 7
Date: 2021-11-18, pts: 30, rbs: 6, ast: 5
Date: 2021-11-20, pts: 21, rbs: 4, ast: 9
Date: 2021-11-22, pts: 18, rbs: 7, ast: 9
Date: 2021-11-24, pts: 23, rbs: 5, ast: 1
Date: 2021-11-26, pts: 20, rbs: 4, ast: 6
Date: 2021-11-27, pts: 26, rbs: 5, ast: 7
Date: 2021-11-29, pts: 18, rbs: 2, ast: 8
Date: 2021-12-01, pts: 19, rbs: 6, ast: 9
Date: 2021-12-03, pts: 14, rbs: 3, ast: 1
Date: 2021-12-05, pts: 14, rbs: 1, ast: 7
Date: 2021-12-06, pts: 34, rbs: 2, ast: 4
Date: 2021-12-08, pts: 25, rbs: 6, ast: 3
Date: 2021-12-11, pts: 21, rbs: 5, ast: 5
Date: 2021-12-13, pts: 19, rbs: 3, ast: 10
Date: 2021-12-15, pts: 30, rbs: 5, ast: 5
Date: 2021-12-16, pts: 26, rbs: 3, ast: 5
Date: 2021-12-18, pts: 37, rbs: 5, ast: 7
Date: 2021-12-30, pts: 29, rbs: 6, ast: 10
Date: 2022-01-01, pts: 27, rbs: 2, ast: 17
Date: 2022-01-03, pts: 35, rbs: 7, ast: 8
Date: 2022-01-05, pts: 27, rbs: 5, ast: 5
Date: 2022-01-07, pts: 26, rbs: 3, ast: 6
Date: 2022-01-09, pts: 20, rbs: 6, ast: 7
Date: 2022-01-17, pts: 13, rbs: 5, ast: 6
Date: 2022-01-19, pts: 23, rbs: 4, ast: 9
Date: 2022-01-21, pts: 25, rbs: 5, ast: 8
Date: 2022-01-23, pts: 19, rbs: 5, ast: 7
Date: 2022-01-25, pts: 23, rbs: 9, ast: 6
Date: 2022-01-29, pts: 9, rbs: 2, ast: 12
Date: 2022-10-19, pts: 23, rbs: 5, ast: 6
Date: 2022-10-21, pts: 19, rbs: 1, ast: 8
Date: 2022-10-23, pts: 27, rbs: 4, ast: 5
Date: 2022-10-25, pts: 13, rbs: 4, ast: 6
Date: 2022-10-28, pts: 31, rbs: 7, ast: 4
Date: 2022-10-30, pts: 12, rbs: 1, ast: 8
Date: 2022-10-31, pts: 20, rbs: 5, ast: 6
Date: 2022-11-02, pts: 29, rbs: 2, ast: 5
Date: 2022-11-04, pts: 20, rbs: 3, ast: 3
Date: 2022-11-16, pts: 25, rbs: 6, ast: 6
Date: 2022-11-18, pts: 27, rbs: 2, ast: 8
Date: 2022-11-20, pts: 26, rbs: 4, ast: 5
Date: 2022-11-25, pts: 28, rbs: 5, ast: 5
Date: 2022-11-27, pts: 30, rbs: 5, ast: 4
Date: 2022-11-28, pts: 22, rbs: 1, ast: 5
Date: 2022-11-30, pts: 25, rbs: 5, ast: 6
Date: 2022-12-02, pts: 33, rbs: 6, ast: 7
Date: 2022-12-04, pts: 2, rbs: 1, ast: 0
Date: 2022-12-18, pts: 29, rbs: 2, ast: 3
Date: 2022-12-20, pts: 27, rbs: 6, ast: 6
Date: 2022-12-22, pts: 30, rbs: 5, ast: 5
Date: 2022-12-23, pts: 24, rbs: 1, ast: 4
Date: 2022-12-27, pts: 19, rbs: 1, ast: 5
Date: 2023-01-03, pts: 8, rbs: 1, ast: 4
Date: 2023-01-18, pts: 18, rbs: 4, ast: 4
Date: 2023-01-21, pts: 17, rbs: 4, ast: 8
Date: 2023-01-24, pts: 22, rbs: 0, ast: 4
Date: 2023-01-25, pts: 17, rbs: 3, ast: 4
Date: 2023-01-28, pts: 16, rbs: 4, ast: 5
Date: 2023-01-30, pts: 21, rbs: 7, ast: 7
Date: 2023-02-03, pts: 34, rbs: 3, ast: 1
Date: 2023-02-08, pts: 17, rbs: 4, ast: 10
Date: 2023-02-11, pts: 32, rbs: 4, ast: 6
Date: 2023-02-13, pts: 33, rbs: 3, ast: 4
Date: 2023-02-14, pts: 19, rbs: 2, ast: 4
Date: 2023-02-16, pts: 35, rbs: 6, ast: 5
Date: 2023-02-24, pts: 16, rbs: 2, ast: 8
Date: 2023-02-26, pts: 18, rbs: 7, ast: 8
Date: 2023-02-28, pts: 37, rbs: 3, ast: 7
Date: 2023-03-02, pts: 15, rbs: 5, ast: 5
Date: 2023-03-04, pts: 21, rbs: 4, ast: 10
Date: 2023-03-05, pts: 33, rbs: 9, ast: 2

