Date: 1-1-2022
Player: J. Hayes, line: O 4.5, odds: (-105)
Player: K. Middleton, line: O 4.5, odds: (-120)
Player: W. Hernangomez, line: O 10.5, odds: (+110)
Player: G. Temple, line: O 4.5, odds: (+110)
Player: W. Matthews, line: O 1.5, odds: (-170)
Player: J. Hart, line: O 8.5, odds: (-105)
Player: P. Connaughton, line: O 4.5, odds: (+105)
Player: D. Cousins, line: O 4.5, odds: (-165)
Player: B. Portis Jr., line: O 7.5, odds: (-135)
Player: J. Holiday, line: O 4.5, odds: (+105)
Player: D. Graham, line: O 2.5, odds: (-145)
Player: N. Alexander-Walker, line: O 3.5, odds: (+125)
Player: G. Hill, line: O 2.5, odds: (-125)
Player: H. Jones, line: O 4.5, odds: (-120)
Player: G. Antetokounmpo, line: O 10.5, odds: (EVEN)
Player: G. Allen, line: O 2.5, odds: (-115)
Player: C. Kispert, line: O 3.5, odds: (-115)
Player: D. Avdija, line: O 6.5, odds: (+105)
Player: D. DeRozan, line: O 4.5, odds: (-106)
Player: Z. LaVine, line: O 4.5, odds: (-120)
Player: K. Caldwell-Pope, line: O 3.5, odds: (+118)
Player: D. Jones Jr., line: O 4.5, odds: (+120)
Player: B. Beal, line: O 4.5, odds: (+110)
Player: J. Green, line: O 4.5, odds: (-135)
Player: K. Kuzma, line: O 7.5, odds: (-108)
Player: N. Vucevic, line: O 11.5, odds: (-120)
Player: D. Gafford, line: O 8.5, odds: (-135)
Player: C. White, line: O 3.5, odds: (-140)
Player: D. Walton Jr., line: O 3.5, odds: (+135)
Player: D. Vassell, line: O 5.5, odds: (+110)
Player: H. Diallo, line: O 7.5, odds: (-150)
Player: T. Jones, line: O 5.5, odds: (+125)
Player: J. Poeltl, line: O 10.5, odds: (EVEN)
Player: D. White, line: O 3.5, odds: (-170)
Player: K. Bates-Diop, line: O 6.5, odds: (+110)
Player: J. Landale, line: O 3.5, odds: (-170)
Player: L. Garza, line: O 8.5, odds: (+115)
Player: B. Forbes, line: O 1.5, odds: (-155)
Player: C. Stanley, line: O 4.5, odds: (-120)
Player: D. McDermott, line: O 3.5, odds: (EVEN)
Player: K. Johnson, line: O 7.5, odds: (-135)
Player: S. Bey, line: O 7.5, odds: (-130)
Player: J. Winslow, line: O 4.5, odds: (-130)
Player: L. Kennard, line: O 3.5, odds: (-170)
Player: M. Morris Sr., line: O 6.5, odds: (-105)
Player: P. Mills, line: O 2.5, odds: (+130)
Player: R. Jackson, line: O 4.5, odds: (EVEN)
Player: S. Ibaka, line: O 7.5, odds: (+105)
Player: K. Durant, line: O 7.5, odds: (-105)
Player: T. Mann, line: O 6.5, odds: (-115)
Player: J. Johnson, line: O 4.5, odds: (-135)
Player: L. Aldridge, line: O 5.5, odds: (-115)
Player: J. Harden, line: O 8.5, odds: (-115)
Player: B. Brown Jr., line: O 5.5, odds: (-125)
Player: E. Bledsoe, line: O 3.5, odds: (-160)
Player: A. Coffey, line: O 4.5, odds: (-165)
Player: N. Jokic, line: O 14.5, odds: (-115)
Player: J. Christopher, line: O 3.5, odds: (+105)
Player: F. Campazzo, line: O 2.5, odds: (-155)
Player: J. Tate, line: O 5.5, odds: (-135)
Player: A. Rivers, line: O 2.5, odds: (+115)
Player: K. Martin Jr., line: O 4.5, odds: (+125)
Player: A. Brooks, line: O 3.5, odds: (+135)
Player: W. Barton, line: O 4.5, odds: (-115)
Player: D. Nwaba, line: O 7.5, odds: (-115)
Player: J. Green, line: O 2.5, odds: (-158)
Player: C. Wood, line: O 10.5, odds: (-106)
