Stat: pts
Best weight alpha found: 205
Best feature alpha found: 5
Best opposing team alpha found: 17
Best inactive number found: 99
Yuta Watanabe average predicted stats: 2.0376584830347055
Yuta Watanabe actual average stats: 3.2
Davion Mitchell average predicted stats: 4.234577096073073
Davion Mitchell actual average stats: 6.1
Jamal Murray average predicted stats: 19.123661077861893
Jamal Murray actual average stats: 20.0
Jaylin Williams average predicted stats: 7.237456538833681
Jaylin Williams actual average stats: 5.8
Christian Koloko average predicted stats: 0.8871188818923971
Christian Koloko actual average stats: 2.4
Cedi Osman average predicted stats: 9.251123951434057
Cedi Osman actual average stats: 7.6
James Bouknight average predicted stats: 1.4374229395714515
James Bouknight actual average stats: 8.0
Luka Doncic average predicted stats: 31.093790804489394
Luka Doncic actual average stats: 27.4
Cam Thomas average predicted stats: 12.568457434035471
Cam Thomas actual average stats: 9.5
CJ McCollum average predicted stats: 19.828290003725463
CJ McCollum actual average stats: 20.4
Jabari Walker average predicted stats: 2.99413801579382
Jabari Walker actual average stats: 9.4
Giannis Antetokounmpo average predicted stats: 29.41881551876939
Giannis Antetokounmpo actual average stats: 29.2
MarJon Beauchamp average predicted stats: 3.649681744717126
MarJon Beauchamp actual average stats: 4.7
Moritz Wagner average predicted stats: 9.915178968934315
Moritz Wagner actual average stats: 7.6
Dyson Daniels average predicted stats: 2.0873838399667237
Dyson Daniels actual average stats: 3.3
Mitchell Robinson average predicted stats: 6.694631727976062
Mitchell Robinson actual average stats: 6.6
Christian Braun average predicted stats: 3.805189910136478
Christian Braun actual average stats: 7.9
Miles McBride average predicted stats: 1.1688366602930897
Miles McBride actual average stats: 5.1
Udoka Azubuike average predicted stats: 2.0882794956910837
Udoka Azubuike actual average stats: 7.5
Markelle Fultz average predicted stats: 18.215741819569462
Markelle Fultz actual average stats: 13.3
Daishen Nix average predicted stats: 6.692754394229458
Daishen Nix actual average stats: 2.1
Ish Wainright average predicted stats: 4.591119575957302
Ish Wainright actual average stats: 3.8
Wendell Carter Jr. average predicted stats: 15.698026900822763
Wendell Carter Jr. actual average stats: 14.7
Evan Mobley average predicted stats: 17.7186223267981
Evan Mobley actual average stats: 16.3
Bam Adebayo average predicted stats: 17.0683381697834
Bam Adebayo actual average stats: 16.8
Bruce Brown average predicted stats: 9.721064645428621
Bruce Brown actual average stats: 15.4
Jaden Hardy average predicted stats: 11.265971845112952
Jaden Hardy actual average stats: 10.9
Tim Hardaway Jr. average predicted stats: 14.887851785751526
Tim Hardaway Jr. actual average stats: 15.2
Collin Sexton average predicted stats: 14.635953913772997
Collin Sexton actual average stats: 13.8
Caleb Martin average predicted stats: 8.62861726128067
Caleb Martin actual average stats: 6.8
Larry Nance Jr. average predicted stats: 3.741334692535331
Larry Nance Jr. actual average stats: 3.9
Seth Curry average predicted stats: 7.76018423994865
Seth Curry actual average stats: 5.8
Christian Wood average predicted stats: 15.548300430992876
Christian Wood actual average stats: 12.9
Ochai Agbaji average predicted stats: 10.882411232452528
Ochai Agbaji actual average stats: 14.7
Ben Simmons average predicted stats: 5.471986245511308
Ben Simmons actual average stats: 5.0
Admiral Schofield average predicted stats: 3.4111880645684267
Admiral Schofield actual average stats: 3.2
Caleb Houstan average predicted stats: 1.4719995702226174
Caleb Houstan actual average stats: 4.0
Boban Marjanovic average predicted stats: 6.765356995490686
Boban Marjanovic actual average stats: 2.8
Terence Davis average predicted stats: 4.239251738592373
Terence Davis actual average stats: 8.1
Nicolas Batum average predicted stats: 4.6998502089014
Nicolas Batum actual average stats: 7.4
Cory Joseph average predicted stats: 13.690601424419466
Cory Joseph actual average stats: 11.1
Talen Horton-Tucker average predicted stats: 15.32934308488771
